Id,Time[ns],0:UART: RX/TX
1,3497112100.00,[00]
2,3497145100.00,[00]
3,3497190900.00,[00]
4,3497207800.00,[82]
5,3497221700.00,[05]
6,3497232500.00,[08]
7,3497243800.00,[11]
8,3497254700.00,%
9,3497267400.00,[1A]
10,3497278700.00,H
11,3497289700.00,H
12,3497300400.00,T
13,3497311400.00,I
14,3497322500.00,F
15,3497333400.00,M
16,3497344700.00,b
17,3497356100.00,[90]
18,3497366900.00,[B0]
19,3497377500.00,B
20,3497388800.00,[AC]
21,3497402400.00,l
22,3497413000.00,l
23,3497428400.00,&
24,3497440300.00,[8D]
25,3497451200.00,[A3]
26,3497462000.00,[97]
27,3497473100.00,[A3]
28,3497484000.00,[1B]
29,3497494900.00,5
30,3497505800.00,#
31,3497516700.00,5
32,3497527700.00,[0D]
33,3497538600.00,[19]
34,3497549500.00,5
35,3497560400.00,[AD]
36,3497571200.00,[8B]
37,3497582200.00,c
38,3497593200.00,[
39,3497604100.00,[A5]
40,3497615000.00,[
41,3497625900.00,a
42,3497636800.00,e
43,3497647700.00,[A5]
44,3497658700.00,[
45,3497669600.00,5
46,3497680500.00,#
47,3497691400.00,[A5]
48,3497702300.00,[13]
49,3497713300.00,[9D]
50,3497724200.00,[A3]
51,3497735100.00,[8D]
52,3497746000.00,[A5]
53,3497756900.00,[8D]
54,3497767800.00,[93]
55,3497778800.00,[9D]
56,3497789700.00,[A5]
57,3497800600.00,1
58,3497811500.00,[1D]
59,3497822400.00,[8D]
60,3497833400.00,[8D]
61,3497844300.00,7
62,3497855200.00,[93]
63,3497866100.00,3
64,3497877000.00,7
65,3497887900.00,[A5]
66,3497898800.00,3
67,3497909800.00,-
68,3497920700.00,[1B]
69,3497931600.00,[13]
70,3497942500.00,[0D]
71,3497953400.00,[E5]
72,3497967700.00,[9D]
73,3497978600.00,[AC]
74,3497994900.00,M
75,3498005900.00,[B5]
76,3498016800.00,[E5]
77,3498029900.00,u
78,3498040800.00,[8B]
79,3498051700.00,[87]
80,3498062600.00,[83]
81,3498073500.00,[1B]
82,3498084500.00,g
83,3498095400.00,[8D]
84,3498106300.00,[8B]
85,3498117200.00,[87]
86,3498128100.00,;
87,3498139000.00,[15]
88,3498150000.00,-
89,3498160900.00,#
90,3498171800.00,[13]
91,3498182700.00,[87]
92,3498193600.00,[8B]
93,3498204500.00,[83]
94,3498215500.00,[8D]
95,3498226400.00,[9D]
96,3498237300.00,[8B]
97,3498248200.00,[9B]
98,3498259100.00,[97]
99,3498270100.00,[8B]
100,3498281000.00,[93]
101,3498291900.00,[97]
102,3498302800.00,[A3]
103,3498313700.00,[83]
104,3498324600.00,a
105,3498335600.00,9
106,3498346500.00,[13]
107,3498357400.00,[87]
108,3498368300.00,[9B]
109,3498379200.00,[99]
110,3498390200.00,[87]
111,3498401100.00,[9B]
112,3498412000.00,[83]
113,3498422900.00,[8D]
114,3498433800.00,[8D]
115,3498444700.00,[E5]
116,3498459000.00,[8D]
117,3498469900.00,[AC]
118,3498486200.00,M
119,3498497200.00,[B5]
120,3498508100.00,e
121,3498521200.00,5
122,3498532100.00,[8B]
123,3498543000.00,[83]
124,3498553900.00,[83]
125,3498564800.00,Q
126,3498575800.00,[0D]
127,3498586700.00,-
128,3498597600.00,[17]
129,3498608500.00,-
130,3498619400.00,#
131,3498630300.00,1
132,3498641300.00,[83]
133,3498652200.00,9
134,3498663100.00,!
135,3498674000.00,#
136,3498684900.00,#
137,3498695800.00,5
138,3498706800.00,[19]
139,3498717700.00,[13]
140,3498728600.00,[87]
141,3498739300.00,[A3]
142,3498750400.00,[A3]
143,3498761300.00,[A3]
144,3498772300.00,[E5]
145,3498786500.00,[0D]
146,3549130800.00,[AC]
147,3549147200.00,M
148,3549158100.00,[B5]
149,3549169000.00,[E5]
150,3549182100.00,5
151,3549193000.00,[8B]
152,3549203900.00,[83]
153,3549214800.00,[83]
154,3549225600.00,;
155,3549236700.00,!
156,3549247600.00,!
157,3549258500.00,[17]
158,3549269400.00,[87]
159,3549280400.00,[19]
160,3549291300.00,[1B]
161,3549302200.00,9
162,3549313100.00,[8B]
163,3549324000.00,[87]
164,3549334900.00,[87]
165,3549345900.00,[E5]
166,3549360100.00,[0D]
167,3659165900.00,[AC]
168,3659182300.00,]
169,3659193200.00,[B5]
170,3659204100.00,[E5]
171,3659217200.00,5
172,3659228100.00,[8B]
173,3659239000.00,[83]
174,3659249800.00,[87]
175,3659260800.00,5
176,3659271800.00,e
177,3659282700.00,e
178,3659293600.00,[19]
179,3659304500.00,[83]
180,3659315400.00,[8B]
181,3659326400.00,[83]
182,3659337300.00,[87]
183,3659348200.00,[03]
184,3659359100.00,3
185,3659370000.00,[93]
186,3659380900.00,[E5]
187,3659395200.00,[0D]
188,3827535400.00,[AC]
189,3827551700.00,M
190,3827562600.00,[B5]
191,3827573500.00,[E5]
192,3827586700.00,5
193,3827597600.00,[8B]
194,3827608500.00,[83]
195,3827619400.00,[83]
196,3827630100.00,;
197,3827641200.00,c
198,3827652200.00,[8D]
199,3827663100.00,[8B]
200,3827674000.00,[83]
201,3827684900.00,[1B]
202,3827695800.00,!
203,3827706800.00,!
204,3827717700.00,[17]
205,3827728600.00,-
206,3827739500.00,#
207,3827750400.00,1
208,3827761300.00,[83]
209,3827772200.00,[1B]
210,3827783200.00,g
211,3827794100.00,[9B]
212,3827805000.00,[E5]
213,3827819200.00,[0D]
214,3863741000.00,C
215,3863751900.00,E
216,3863764500.00,[91]
217,3863775200.00,[A4]
218,3863786300.00,[98]
219,3863797200.00,[90]
220,3863810200.00,(
221,3863821800.00,[94]
222,3863832700.00,T
223,3863846700.00,[D6]
224,3863857200.00,[8C]
225,3863867600.00,[85]
226,3863878500.00,M
227,3863889500.00,[B5]
228,3863900400.00,[E5]
229,3863913500.00,5
230,3863924400.00,[8B]
231,3863935300.00,[87]
232,3863946200.00,[83]
233,3863957100.00,[1B]
234,3863968100.00,'
235,3863979000.00,[8D]
236,3863989900.00,A
237,3864000800.00,%
238,3864011700.00,[0D]
239,3864022600.00,-
240,3864033600.00,#
241,3864044500.00,[83]
242,3864055400.00,5
243,3864066300.00,[03]
244,3864077200.00,-
245,3864088100.00,[17]
246,3864099100.00,[E5]
247,3864113300.00,[0D]
248,3864127900.00,e
249,3864141600.00,[19]
250,3864153100.00,[19]
251,3864166800.00,r
252,3864178300.00,B
253,3864189900.00,F
254,3864201400.00,f
255,3864212900.00,[06]
256,3864224400.00,6
257,3864236000.00,B
258,3864247500.00,B
259,3864259000.00,&
260,3864270600.00,[06]
261,3864282100.00,f
262,3864293600.00,F
263,3864305100.00,B
264,3864316700.00,"
265,3864328200.00,[E5]
266,3864342900.00,[0D]
267,3864353600.00,N
268,3864367100.00,[92]
269,3864378800.00,[93]
270,3864393500.00,[92]
271,3864405100.00,[12]
272,3864417700.00,[D9]
273,3864431400.00,j
274,3864442900.00,2
275,3864454500.00,j
276,3864466000.00,.
277,3864477500.00,[82]
278,3864489000.00,2
279,3864500600.00,[16]
280,3864512000.00,[1A]
281,3864523600.00,[06]
282,3864535100.00,j
283,3864546600.00,[0E]
284,3864558100.00,F
285,3864569700.00,[06]
286,3864581300.00,Z
287,3864593100.00,[16]
288,3864604600.00,[06]
289,3864616100.00,"
290,3864627700.00,[18]
291,3864639100.00,R
292,3864650600.00,j
293,3864662200.00,*
294,3864673700.00,[06]
295,3864685200.00,[06]
296,3864696700.00,[1A]
297,3864708300.00,f
298,3864719800.00,&
299,3864731300.00,6
300,3864742900.00,j
301,3864754400.00,2
302,3864765900.00,[12]
303,3864777400.00,[0E]
304,3864788900.00,[0A]
305,3864800400.00,[06]
306,3864812000.00,[06]
307,3864823500.00,[06]
308,3864835000.00,[06]
309,3864846400.00,N
310,3864858100.00,[0E]
311,3864869700.00,F
312,3864881300.00,"
313,3864892800.00,[06]
314,3864904300.00,"
315,3864915900.00,[1A]
316,3864927400.00,R
317,3864938900.00,j
318,3864950400.00,*
319,3864961900.00,[06]
320,3864973500.00,[06]
321,3864984900.00,2
322,3864996500.00,&
323,3865008000.00,[1A]
324,3865019500.00,.
325,3865031100.00,*
326,3865042600.00,2
327,3865054100.00,[0E]
328,3865065600.00,[0A]
329,3865077200.00,[06]
330,3865088600.00,[06]
331,3865100200.00,[06]
332,3865111700.00,[06]
333,3865123100.00,N
334,3865134800.00,[0E]
